protocol_id,outer_fold,inner_fold_1,inner_fold_2,inner_fold_3,inner_fold_4,inner_fold_5
bb_3_100,3,3,3,,1,1
bb_6_5,2,2,,1,1,3
bb_7_34,4,3,3,2,,1
bb_7_63,5,2,1,3,2,
be_14_29,5,3,1,1,2,
be_15_85,1,,2,2,1,1
be_18_21,4,2,1,3,,3
be_18_9,5,3,3,2,1,
be_19_54,5,2,1,3,2,
bw_13_100,2,3,,3,3,2
bw_15_84,3,1,2,,3,1
bw_16_31,2,1,,1,3,2
bw_17_11,3,1,1,,3,1
bw_17_93,4,2,1,1,,1
by_15_52,5,1,3,1,1,
by_15_79,5,1,2,2,2,
by_16_123,3,1,2,,3,2
by_17_100,4,2,1,3,,1
by_18_106,3,2,3,,2,1
hb_15_28,1,,2,1,1,2
hb_16_51,1,,2,2,1,1
hb_17_82,4,2,1,3,,3
hb_18_43,4,3,3,2,,3
hb_19_10,4,2,3,3,,3
he_16_95,5,2,2,2,1,
he_18_26,5,2,3,2,1,
he_19_147,5,2,3,3,2,
he_19_50,2,2,,1,3,1
he_19_67,4,1,1,2,,2
hh_16_74,5,1,3,1,1,
hh_20_34,3,2,3,,2,1
hh_20_77,4,3,1,3,,1
hh_22_32,2,1,,2,3,3
hh_22_37,3,3,3,,1,3
mv_5_100,2,1,,1,3,2
mv_5_6,5,2,2,1,1,
mv_6_4,4,1,2,2,,2
mv_7_120,4,3,3,3,,1
mv_7_94,4,2,3,3,,3
ni_14_107,5,2,3,1,2,
ni_16_37,1,,1,3,1,1
ni_17_3,3,3,1,,3,3
ni_18_140,1,,2,1,2,2
ni_18_64,2,1,,1,3,2
nw_13_110,5,1,2,3,3,
nw_16_103,3,3,1,,2,3
nw_16_76,1,,2,2,1,2
nw_17_126,2,3,,2,2,2
nw_18_67,2,1,,1,3,2
rp_15_44,2,3,,1,3,3
rp_15_48,4,1,1,3,,2
rp_15_88,2,3,,2,2,3
rp_17_68,5,3,3,1,1,
rp_18_46,1,,1,2,3,3
sh_15_66,2,1,,3,2,3
sh_16_104,4,3,2,3,,2
sh_18_16,1,,2,2,3,2
sh_18_17,1,,1,2,2,2
sh_19_62,2,1,,2,2,2
sl_14_12,1,,1,3,2,2
sl_15_28,1,,3,3,2,1
sl_15_40,3,3,2,,1,1
sl_17_32,2,2,,3,1,1
sl_17_8,1,,2,1,3,2
sn_4_32,5,2,2,2,2,
sn_4_64,1,,1,1,2,1
sn_5_86,3,1,2,,3,1
sn_6_1,1,,1,2,3,1
sn_7_52,3,3,3,,1,3
st_3_60,3,3,2,,3,1
st_6_70,5,1,3,2,3,
st_6_92,5,2,2,1,2,
st_8_27,3,2,2,,2,3
st_8_3,1,,3,1,1,3
th_4_67,4,3,1,3,,3
th_5_137,2,1,,2,1,3
th_5_2,4,3,3,2,,2
th_7_126,4,3,1,3,,2
th_7_38,3,1,3,,1,3
